source_page,source_table,Category,Count,Amount
1,1,Lunch Special,213,"$2,994.75"
1,1,Milk Tea,256,"$1,120.75"
1,1,Prep item,42,$0.00
1,1,Fried Rice,130,"$1,748.27"
1,1,Appetizer,901,"$5,012.23"
1,1,Fried Chicken,452,"$4,676.16"
1,1,Additonal,91,$204.20
1,1,Ramen,618,"$9,153.54"
1,1,Tossed Ramen,581,"$8,147.01"
1,1,Tossed Rice Noodle,252,"$3,778.39"
1,1,Gift Card,1,$5.99
1,1,Rice Noodle,315,"$4,621.24"
1,1,Combo Items,0,$0.00
1,1,Drink,"2,039","$2,445.01"
1,1,Open Food,3,$5.75
1,1,Special Offer,118,"$1,271.28"
2,1,Wonton,82,$910.64
