source_page,source_table,Category,Count,Amount
1,1,Tossed Ramen,510,"$7,287.69"
1,1,Tossed Rice Noodle,243,"$3,652.73"
1,1,Ramen,479,"$7,108.15"
1,1,Appetizer,836,"$4,487.70"
1,1,Additonal,127,$255.81
1,1,Fried Rice,146,"$1,967.46"
1,1,Fried Chicken,551,"$5,725.04"
1,1,Lunch Special,222,"$3,089.08"
1,1,Prep item,0,$0.00
1,1,Wonton,103,"$1,187.40"
1,1,Milk Tea,189,$836.14
1,1,Special Offer,37,$472.38
1,1,Combo Items,0,$0.00
1,1,Drink,"1,896","$2,086.79"
1,1,Open Food,1,$5.00
1,1,Rice Noodle,298,"$4,365.96"
