source_page,source_table,Category,Count,Amount
1,1,Fried Chicken,787,"$7,935.26"
1,1,Combo Items,0,$0.00
1,1,Drink,"3,169","$2,922.54"
1,1,Additonal,175,$358.48
1,1,Rice Noodle,524,"$7,698.91"
1,1,Wonton,50,$546.94
1,1,Milk Tea,244,"$1,108.72"
1,1,Combo Items Donot Delete,0,$0.00
1,1,Appetizer,"1,146","$6,217.05"
1,1,Ramen,816,"$12,118.38"
1,1,Tossed Rice Noodle,398,"$6,000.15"
1,1,Lunch Special,269,"$3,783.26"
1,1,Tossed Ramen,941,"$13,539.42"
1,1,Fried Rice,214,"$2,850.30"
1,1,Open Food,2,$4.52
