source_page,source_table,Category,Count,Amount
1,1,Wonton,211,"$2,355.56"
1,1,Lunch Special,308,"$4,160.47"
1,1,Prep item,38,$1.00
1,1,Additonal,156,$395.71
1,1,Fried Rice,422,"$5,385.14"
1,1,Fruit Tea,110,$452.94
1,1,Fried Chicken,746,"$8,590.00"
1,1,Appetizer,"1,129","$6,407.17"
1,1,Ramen,844,"$12,574.53"
1,1,Tossed Ramen,480,"$6,908.36"
1,1,Tossed Rice Noodle,420,"$6,232.66"
1,1,Mai Dessert,19,$111.65
1,1,Rice Noodle,404,"$6,053.93"
1,1,Gift Card,5,$45.00
1,1,Jas-Lemonade,84,$346.85
1,1,Combo Items,0,$0.00
2,1,Drink,"2,971","$1,930.03"
2,1,Open Food,1,$1.50
2,1,Special Offer,127,"$1,648.21"
2,1,Milk Tea,374,"$1,616.49"
